artist_name,artist_id,genres,popularity,followers
KAROL G,790FomKkXshlbRYZFtlgla,"reggaeton,reggaeton colombiano,trap latino,urbano latino",90,48499948
Feid,2LRoIwlKmHjgvigdNGBHNo,"colombian pop,pop reggaeton,reggaeton,reggaeton colombiano,trap latino,urbano latino",91,12359978
Blessd,1TA5sGRlKUJXBN4ZyJuDIX,"reggaeton,urbano latino",79,4328445
Boza,2NfSBtmWe7oPw1EmetJVso,"panamanian pop,reggaeton,urbano latino",69,536852
Kapo,3UTF2no3muGdiFXVujl94i,,66,37508
Jimin,1oSPZhvZMIrWW5I41kPkkY,k-pop,86,9039994
Rvssian,1fctva4kpRbg2k3v7kwRuS,"reggaeton,reggaeton flow,trap latino,urbano latino",76,2489224
Trueno,2x7PC78TmgqpEIjaGAZ0Oz,"argentine hip hop,bases de freestyle,trap argentino,trap latino,urbano latino",83,6761341
RAFIK,3iwLW4iRdF33CHC3O3PjEY,,46,2566
Plan B,2jSGzJw0ebJLu7OLVSOcBP,"reggaeton,trap latino,urbano latino",79,4474607
Danny Ocean,5H1nN1SzW0qNeUEZvuXjAj,"pop venezolano,reggaeton,trap latino,urbano latino",77,5476043
J Abdiel,17SY5q1CMOZJBRuPcKWwPI,"trap latino,urbano latino",70,73021
Manuel Turizo,0tmwSHipWxN12fsoLcFU3B,"colombian pop,latin pop,reggaeton,reggaeton colombiano,trap latino,urbano latino",82,13770695
Bad Bunny,4q3ewBCX7sLwd24euuV69X,"reggaeton,trap latino,urbano latino",94,83750445
FloyyMenor,7CvTknweLr9feJtRGrpDBy,reggaeton chileno,82,516065
Rawayana,2AbQwU2cuEGfD465wCXlg2,"venezuelan hip hop,venezuelan rock",67,696141
Omar Courtz,3E12tRURRvPfHz0hAMCFYc,"trap boricua,trap latino,urbano latino",67,207066
Lomiiel,2rMFPjySMqkgBajkLKL6zo,dembow dominicano,67,101321
Young Miko,3qsKSpcV3ncke3hw52JSMB,"trap latino,urbano latino",80,3261629
Junior Caldera,0rwGV1HhNWK2Ta4rjmlmtp,trap venezolano,43,41060
Myke Towers,7iK8PXO48WeuP03g8YR51W,"reggaeton,trap latino,urbano latino",88,15392346
Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,"puerto rican pop,reggaeton,trap latino,urbano latino",89,22286741
Alvaro Diaz,5J7rXWjtn5HzUkJ4Jet8Fr,"trap boricua,urbano latino",77,795893
iZaak,4s6Xg38sbqh4xpf4OqhVUK,"trap latino,urbano latino",75,209216
Quevedo,52iwsT98xCoGgiGntTiR7K,"rap canario,trap latino,urbano latino",81,4773319
ELENA ROSE,0zO8yNnw5GQgutcIyXfGBY,r&b en espanol,68,90683
Nanpa Básico,1cUpGtXcSQsovNYEZOQgOG,"colombian hip hop,mexican hip hop",70,2535661
Marshmello,64KEffDW9EtZ1y2vBYgq8T,"brostep,edm,pop,progressive electro house",83,33709079
Beéle,7a0XAaPaK2aDSqa8p3QnC7,"reggaeton colombiano,trap latino,urbano latino",73,723741
LAGOS,7uQ1D2NNHs5cUL3CLKRbia,pop venezolano,65,142556
The Academy: Segunda Misión,4C3ZmIqca9MWwThLaYbfXu,urbano latino,70,106696
YOVNGCHIMI,4aSlfXDn9R60UlbZEboBUy,"trap latino,urbano latino",74,1085638
La Única Tropical,1WUEWZGTvX4AjC2y5PoSDd,cumbia peruana,63,429580
Cris Mj,1Yj5Xey7kTwvZla8sqdsdE,"mambo chileno,trap latino,urbano chileno,urbano latino",86,3448431
Tiago PZK,5Y3MV9DZ0d87NnVm56qSY1,"trap argentino,trap latino,urbano latino",79,5129891
Maluma,1r4hJ1h58CWwUQe3MxPuau,"latin pop,reggaeton,reggaeton colombiano,trap latino,urbano latino",85,33999148
Taiu,5szJHKg5xeUlQ9pTqzdpic,trap argentino,71,74833
Camilo,28gNT5KBp7IjEOQoevXf9N,"colombian pop,latin pop,latin viral pop,reggaeton colombiano",80,19024583
Mesita,2IKdK6PbitvCiXt1t2bPU6,rap uruguayo,69,437296
Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,pop,90,10444190
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,"reggaeton,reggaeton colombiano,trap latino,urbano latino",86,36703992
Big One,2OhUNb01gLwygOizYvTm0e,trap argentino,72,539854
Anuel AA,2R21vXR83lH98kGeO99Y66,"reggaeton,reggaeton flow,trap boricua,trap latino,urbano latino",87,36474013
Marc Seguí,5FQ8tBUtIamA2hRtatrYUF,spanish pop,66,150677
Jay Wheeler,2cPqdH7XMvwaBJEVjheH8g,"reggaeton,trap latino,urbano latino",78,4202631
Los Ángeles Azules,0ZCO8oVkMj897cKgFH7fRW,"gruperas inmortales,musica mexicana,nu-cumbia,ranchera,tropical",78,7405279
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,"art pop,pop",94,96266004
Los Enanitos Verdes,4TK1gDgb7QKoPFlzRrBRgR,"argentine rock,latin alternative,latin pop,latin rock,mexican pop,rock en espanol,ska argentino",72,4201238
Pascal,2fuu7gBnfDhgJNt1Yr4ERu,pop peruano,44,7931
JIN,5vV3bFXnN6D6N3Nj4xRvaV,k-pop,72,8009979
Luis R Conriquez,0pePYDrJGk8gqMRbXrLJC8,"corrido,corridos tumbados,norteno,sad sierreno,sierreno",84,5505806
Tony Dize,3LKXWvXFWrkwUzJWxzwVpW,"reggaeton,urbano latino",72,3727886
Grupo Frontera,6XkjpgcEsYab502Vr1bBeW,musica chihuahuense,83,4263858
Calle 24,6dLuQ5qXxIuWc5urxfIiZR,"corrido,corridos tumbados,sad sierreno,sierreno",74,1070281
Xavi,3Me35AWHCGqW4sZ7bWWJt1,sad sierreno,79,5413093
Carin Leon,66ihevNkSYNzRAl44dx6jJ,"corrido,musica mexicana,sad sierreno,sierreno",86,12068836
Aventura,1qto4hHid1P71emI6Fd8xi,"bachata,bachata dominicana,latin hip hop,latin pop,tropical,urbano latino",80,8186978
Arcángel,4SsVbpTthjScTS7U2hmr1X,"latin hip hop,reggaeton,trap latino,urbano latino",82,14631721
Tainy,0GM7qgcRCORpGnfcN2tCiB,"pop reggaeton,reggaeton,trap latino,urbano latino",78,2197080
Camila,2gRP1Ezbtj3qrERnd0XasU,"latin arena pop,latin pop",73,4550797
Christian Nodal,0XwVARXT135rw8lyw1EeWP,"mariachi,musica mexicana,ranchera",81,14603396
Daddy Yankee,4VMYDCV2IEDYJArk749S6m,"latin hip hop,reggaeton,trap latino,urbano latino",86,34160123
Natanael Cano,0elWFr7TW8piilVRYJUe4P,"corrido,corridos tumbados,musica mexicana,sad sierreno,sierreno",88,13808500
Zion,1pgDilWYDWLoOgGjf1iHNu,"reggaeton,urbano latino",74,4162399
Key-Key,6GKbEjuVNKuuAKetDXA2Mi,raspe,65,26991
Julión Álvarez y su Norteño Banda,1bfl0AU8SqmLkElptOprhC,"banda,musica mexicana,norteno,sad sierreno",81,5583563
Chimbala,4VVEpEhC8NcR7AqNEds42U,"dembow,rap dominicano",69,626456
Julieta Venegas,2QWIScpFDNxmS6ZEMIUvgm,"cantautora mexicana,latin alternative,latin pop,latin rock,rock en espanol",74,2415956
Los Temerarios,3YbOSxo85kla7RID8ugnW3,"grupera,musica mexicana",79,4873232
Don Omar,33ScadVnbm2X8kkUqOkC6Z,"latin hip hop,puerto rican pop,reggaeton,trap latino,urbano latino",82,11828944
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,"canadian contemporary r&b,canadian pop,pop",93,86456471
Franco De Vita,4NEYQeEYBUjfaXgDQGvFvu,"latin arena pop,latin pop",69,5367670
Bryan Martínez,7FctMSq2t2zyod20njlcjP,,59,31385
Valentino Merlo,55ru5B05MMBunM1tvH7Di6,,68,52842
V,3JsHnjpbhX4SnySpvpa9DK,"j-division,korean ost",82,18491100
The La Planta,4oZolC0sCwCAKqsNXfRlVS,cumbia pop,72,369365
Luck Ra,4kcQWQDK0u9AftVSpdrAgk,"cumbia pop,trap argentino,trap triste",74,1378275
El Turko,7aqaIr9F3tHP7BMsmfAL8Z,,59,130113
Renn,25HXdVQcRMRgDKWbk5cn0G,,65,14046
Ozuna,1i8SpTcr7yvPOmcqrbnVXY,"puerto rican pop,reggaeton,trap latino,urbano latino",86,36856823
Morat,5C4PDR4LnhZTbVnKWXuDKD,"colombian pop,latin viral pop",81,11358924
Juanes,0UWZUmn7sybxMCqrw9tGa7,"colombian pop,latin pop,mexican pop,rock en espanol",75,4797586
Mora,0Q8NcsJwoCbZOHHW63su5S,"trap latino,urbano latino",81,5288506
Shakira,0EmeFodog0BfCgMzAIvKQp,"colombian pop,dance pop,latin pop,pop",86,33566470
Rels B,2IMZYfNi21MGqxopj9fWx8,"r&b en espanol,spanish hip hop,trap latino,urbano espanol,urbano latino",83,7398309
Cris Valencia,7xP0fQcNHEMD9yL5j4ERz1,,42,27898
Luis Alfonso,0GchaVw5KfSVEm0xl0OXEe,musica popular colombiana,66,547023
Ryan Castro,7j6DKwmjbxvpQO8h914uEz,"reggaeton,trap colombiano,trap latino,urbano latino",78,2694567
Ñejo & Dalmata,1ykothWH0xl8drRyJWuw7I,"reggaeton,urbano latino",64,1899509
Dalmata,3jGlU8UMMo44I2xeLQ6FD3,"reggaeton,urbano latino",60,1882589
Dimension Latina,2ixSzFmACsZSsx40fXTNYk,"classic venezuelan pop,salsa,salsa venezolana",60,66715
Tego Calderón,3SUT1jjM5hzZj9TLfLZGIP,"latin hip hop,rap boricua,reggaeton,trap latino,urbano latino",70,4724767
MEL GRANDA,6h9lS66Ib3dOiz3Gg6PpI1,,53,16514
La Joaqui,60XHOAhvEBiV6BGBOv8ClM,"argentine hip hop,rap latina",70,1733068
Q' Lokura,7dlkBH23ERFXxuNoMHq94Y,cuarteto,70,1021494
Maria Becerra,1DxLCyH42yaHKGK3cl5bvG,"pop argentino,urbano latino",81,6646630
Nicki Nicole,2UZIAOlrnyZmyzt1nuXr9y,"argentine hip hop,r&b argentino,trap argentino,trap latino,urbano latino",79,7119701
Emilia,0AqlFI0tz2DsEoJlKSIiT9,pop argentino,78,3175274
Salastkbron,3WMlRpW5JWuDI95TcEWt3r,pop argentino,69,424142
